cfg_idx,0
dataset,SSLdebug
problem,primal_lp
job,training
resultSaveFreq,500
resultPrintFreq,50
float64,True
continue_training,False
act_cls,relu
algo,LDRPM
batch_norm,True
batch_size,4
bsz_factor,5
data_generator,True
dc3_lr,1e-07
dc3_momentum,0.5
epochs,500
eq_tol,1e-05
hidden_dims,"[256, 256]"
ineq_tol,1e-05
loss_type,obj
lr,0.0001
max_iters,300
model,mlp
optimizer,adam
renew_freq,88
weight_decay,1e-08
x_nneg_num,160
var_num,199
feature_num,14
A_nnz_num,502
sample_num,5
constr_num,160
changing_feature,b
model_id,SSLdebug_cfg0
device,cpu
feature_dim,14
out_dim,199
test_optimality_gap_mean,1354.1031094628318
test_optimality_gap_worst,2453.60114465763
test_eq_violation_mean,1.9797984832136465e-16
test_eq_violation_worst,2.188244521850691e-16
test_ineq_violation_mean,2.781075880959597e-08
test_ineq_violation_worst,3.1593048954252475e-08
test_iters_mean,1
test_iters_worst,1
train_time,0.01605081558227539
val_time,0.0009799003601074219
test_time,0.0013564825057983398
