cfg_idx,0
dataset,portfolio_optimization
problem,primal_lp
job,training
resultSaveFreq,60
resultPrintFreq,2
float64,True
continue_training,False
act_cls,relu
algo,LDRPMLHS
batch_norm,True
batch_size,64
bsz_factor,20
data_generator,True
dc3_lr,0.0001
dc3_momentum,0.5
dc3_softweight,100
dc3_softweighteqfrac,0.5
epochs,60
eq_tol,0.0001
hidden_dims,"[256, 256]"
ineq_tol,0.0001
ldr_temp,10
loss_type,obj
lr,0.0001
max_iters,300
model,mlp
optimizer,adam
pretrain_epochs,100
renew_freq,20
weight_decay,1e-08
x_nneg_num,9
var_num,16
ineq_constr_num,9
feature_num,10
A_nnz_num,42
sample_num,100
constr_num,11
eq_constr_num,2
changing_feature,A
model_id,portfolio_optimization_cfg0
device,cpu
feature_dim,10
out_dim,16
epoch,159
test_optimality_gap_mean,-0.04762695214490321
test_optimality_gap_worst,0.09821720759702438
test_eq_violation_mean,3.0577981164722517e-10
test_eq_violation_worst,4.905628963288876e-10
test_ineq_violation_mean,5.181040781584064e-17
test_ineq_violation_worst,2.220446049250313e-16
test_iters_mean,1
test_iters_worst,1
train_time,0.09560227394104004
val_time,0.0016260147094726562
test_time,0.0010285218556722005
